EHPAD C.H. Sainte-Foy la Grande;188;1 avenue Charrier BP 10;33220;STE FOY LA GRANDE;05 57 41 96 96;secretariat.direction@ch-stefoy.fr
EHPAD Belles Rives;90;1 Avenue d'Arenys de Mar;31190;AUTERIVE;05 61 50 63 53;belles.rives@lesfamiliales.fr
EHPAD Beausoleil;73;1 avenue de Bretagne;49330;MIRE;02 41 32 82 28;beausoleil.residence@wanadoo.fr
EHPAD Saint-Dominique;55;1 avenue de la Gare;43500;CRAPONNE SUR ARZON;04 71 01 12 00;accueil-craponne@association-sd.fr
EHPAD Les Tilleuls établissement de Santé de Penne d'Agenais;144;1 Avenue de la Myre Mory;47140;PENNE D AGENAIS;05 53 41 54 15;secretariat.dg@hopital-de-penne.com
EHPAD Foyer de retraite du Combattant;96;1 avenue de Verdun BP 95;33390;BLAYE;05 57 42 28 00;foyercombattant@foyerblaye.fr
EHPAD Le Clos des Oliviers;50;1 avenue des Lilas;6340;LA TRINITE;04 93 54 52 54;clos@belage.org
EHPAD Denis Forestier;116;1 avenue Georges-Lapierre;78320;LA VERRIERE;01 39 38 87 00;denis-forestier@mgen.fr
EHPAD Maison Saint-Vincent de Paul;80;1 Avenue Jacquemond;42000;ST ETIENNE;04 77 74 23 15;secretariat@st-vincent-paul.org
EHPAD d'Amplepuis;149;1 avenue Raoul-Follereau;69550;AMPLEPUIS;04 74 05 43 05;direction@hl-amplepuis.fr
EHPAD Les Reflets d'Argent;80;1 Avenue Saint-Sauveur;71200;LE CREUSOT;03 85 77 04 00;service-clientele@mdrcreusot.fr
EHPAD Les Jardins d'Adoyra;60;1 bis avenue du Stade;34370;CREISSAN;04 67 93 88 64;ehpad@jardindadoyra.fr
EHPAD Le Clos des Carmes;68;1 bis rue du Languedoc;31000;TOULOUSE;05 34 31 21 90;contact@residence-closdeugenie.com
EHPAD Sainte-élisabeth Metzervisse;72;1 Boucle Bernard Hinault;57940;METZERVISSE;03 82 88 87 30;stephanie.toussaint@ste-elisabeth.fr
EHPAD Les Vergers de la Chartreuse;33;1 boulevard Chanoine Kir;21000;DIJON;03 80 42 52 52;direction@chs-chartreuse.fr
EHPAD Gabriel Rouy;50;1 Boulevard Charles de Gaulle;31110;BAGNERES DE LUCHON;05 67 79 81 09;direction@hopitauxdeluchon.fr
EHPAD du Centre hospitalier de Bar-Le-Duc;60;1 boulevard d'Argonne BP 10510;55000;BAR LE DUC;03 29 45 88 88;gerontologie@pssm.fr
EHPAD Baptiste Pams;100;1 boulevard de Las-Indis;66150;ARLES SUR TECH;04 68 39 10 17;mr.pams@orange.fr
EHPAD Le Verger du Centre hospitalier de Haute Marne;62;1 carrefour Henri-Rollin;52100;ST DIZIER;03 25 56 83 83;direction@chhm.fr
EHPAD du CHIVA - Site Le bariol;142;1 Chemin de Cailloup;9100;PAMIERS;05 61 60 90 77;MARTINE.GACHE@chi-val-ariege.fr
EHPAD Les Garrigues;60;1 chemin de la Bergerie;34660;COURNONTERRAL;04 67 85 35 50;garrigues.direction@gmail.com 
EHPAD La brunetterie;86;1 Chemin de la Brunetterie;86800;SEVRES ANXAUMONT;05 49 56 50 14;direction@ehpad-la-brunetterie.org
EHPAD MBV - Westalia;78;1 Chemin de la Delivrande;14470;COURSEULLES SUR MER;02 31 25 52 55;westalia@mutuelle-mbv.fr
EHPAD Paradis;44;1 chemin de la Droit;43000;ESPALY ST MARCEL;04 71 09 05 29;contact@ehpadparadis.fr
EHPAD La Bruyere;95;1 chemin de la Grive;19160;NEUVIC;05 55 46 18 20;ehpadneuvic19@orange.fr
EHPAD Ma Maison;37;1 Chemin de la Tour;35190;ST PERN;02 99 45 14 15;ms.stpern@rennes-psdp.com
EHPAD L'Oustal de Talairan Asei;63;1 Chemin de Saint Vincent;11220;TALAIRAN;04 68 75 60 60;oustaldetalairan@asei.asso.fr
EHPAD d'Alise Sainte-Reine;154;1 chemin des Bains;21150;ALISE STE REINE;03 80 33 93 39;direction@ch-hco.fr
Maison de retraite publique Al Cartero;24;1 Chemin des Buis;26400;GRANE;04 75 62 70 60;opalines-grane@lesopalines.fr
EHPAD de Lombez;77;1 chemin des Religieuses;32220;LOMBEZ;05 62 62 07 07;secretariat@hopital-lombez.fr
EHPAD de Retournac;85;1 chemin des Rochettes;43130;RETOURNAC;04 71 59 42 23;mdr.retournac@orange.fr
EHPAD Robert Taillebourg;35;1 chemin du Lavoir;36000;CHATEAUROUX;02 54 43 77 50;cdgi36@orange.fr
EHPAD Les Capucins;85;1 faubourg des Capucins;70100;GRAY;03 84 67 73 55;direction@ch-gray.fr
EHPAD Les Soleils Bavans;24;1 Grande Rue;25550;BAVANS;03 81 99 52 27;e.ochier-peltier@mut25.fr
EHPAD Maison de Pommery;68;1 hameau de Pommery;2590;ETREILLERS;03 23 50 80 50;accueil.pommery@fondationdiaconesses.org
EHPAD Henry Dunant;94;1 impasse ancienne Ecole Normale;37000;TOURS;02 47 42 32 01;accueil-ehpad.tours@croix-rouge.fr
EHPAD La tour;83;1 impasse de la Tour;11100;MONTREDON DES CORBIERES;04 68 44 13 00;latourmontredon@france-horizon.fr
EHPAD Le Sandron;84;1 Impasse du Sandron;7200;UCEL;04 75 37 60 25;info@le-sandron.fr
EHPAD du Brand;74;1 impasse Roesch;68230;TURCKHEIM;03 89 27 75 00;ehpadbrand@ehpadbrand-turckheim.fr
EHPAD Les Elides;40;1 lieu dit La Touperrerie;50620;LE DEZERT;02 33 05 33 20;leselides50620@aliceadsl.fr
EHPAD Marzolff ABRAPA;70;1 Place de la Liberte;67110;REICHSHOFFEN;03 88 05 89 99;ehpad.marzolff@abrapa.asso.fr
EHPAD Les terres rouges;26;1 Place de l'Eglise;13400;AUBAGNE;04 42 18 58 80;contact@terres-rouges.fr
EHPAD Léon Bourgeois;85;1 place de Puig Tarrous;66740;VILLELONGUE DELS MONTS;04 68 68 71 32;ehpad.sud@adpep66.org
EHPAD La Maison;72;1 Place Denise Grey;38340;VOREPPE;04 76 50 29 42;admissions@ehpad-voreppe.fr
EHPAD Jardins de Chartres;118;1 place Drouaise;28000;CHARTRES;02 37 18 03 00;jardinsdechartres@orpea.net
EHPAD Maison de retraite la reposance;112;1 place du Cantal;72000;LE MANS;02 43 84 27 71;direction@lareposance.net
EHPAD Saint-Vincent;281;1 place du Chauchix;22510;MONCONTOUR DE BRETAGNE;02 96 69 30 30;contact@moncontour.hstv.fr
Maison de Retraite Notre Maison;73;1 place Lamant;78100;ST GERMAIN EN LAYE;01 34 51 03 46;contact@augustines-saintgermain.fr
EHPAD les Hellebores Groissiat;77;1 place Louis Saint Cyr;1100;GROISSIAT;    ;leshellebores@mutain.com
